layer,mode,speed_mps,pitch,volume
power/sb_k2m3u,power,11,1.06166,0.001450
power/sb_k2m3u,power,11.25,1.06474,0.000785
power/sb_k2m3u,power,11.5,1.06783,0.000000
power/sb_k2m3l,power,0,1.08684,0.000000
power/sb_k2m3l,power,0.2,1.08395,0.000379
power/sb_k2m3l,power,1.5,1.06513,0.003305
power/sb_k2m3l,power,7,0.98553,0.003805
power/sb_k2m3l,power,10.5,0.93487,0.002594
power/sb_k2m3l,power,10.75,0.93125,0.002400
power/sb_k2m3l,power,11,0.92763,0.001840
power/sb_k2m3l,power,11.25,0.92401,0.000997
power/sb_k2m3l,power,11.5,0.92039,0.000000
power/sb_k3m1u,power,0,0.98255,0.000000
power/sb_k3m1u,power,0.2,0.98314,0.000564
power/sb_k3m1u,power,1.5,0.98692,0.005027
power/sb_k3m1u,power,7,1.00291,0.005633
power/sb_k3m1u,power,10.5,1.01309,0.003762
power/sb_k3m1u,power,10.75,1.01381,0.003476
power/sb_k3m1u,power,11,1.01454,0.002660
power/sb_k3m1u,power,11.25,1.01527,0.001439
power/sb_k3m1u,power,11.5,1.01599,0.000000
power/sb_k3m1l,power,0,1.01808,0.000000
power/sb_k3m1l,power,0.2,1.01748,0.000258
power/sb_k3m1l,power,1.5,1.01356,0.002299
power/sb_k3m1l,power,7,0.99699,0.002583
power/sb_k3m1l,power,10.5,0.98644,0.001728
power/sb_k3m1l,power,10.75,0.98569,0.001597
power/sb_k3m1l,power,11,0.98494,0.001222
power/sb_k3m1l,power,11.25,0.98418,0.000662
power/sb_k3m1l,power,11.5,0.98343,0.000000
power/sb_k3m2u,power,0,0.96571,0.000000
power/sb_k3m2u,power,0.2,0.96685,0.000170
power/sb_k3m2u,power,1.5,0.97428,0.001518
power/sb_k3m2u,power,7,1.00572,0.001699
power/sb_k3m2u,power,10.5,1.02572,0.001134
power/sb_k3m2u,power,10.75,1.02715,0.001047
power/sb_k3m2u,power,11,1.02858,0.000802
power/sb_k3m2u,power,11.25,1.03001,0.000434
power/sb_k3m2u,power,11.5,1.03144,0.000000
power/sb_k3m2l,power,0,1.03682,0.000000
power/sb_k3m2l,power,0.2,1.03559,0.000277
power/sb_k3m2l,power,1.5,1.02762,0.002465
power/sb_k3m2l,power,7,0.99386,0.002774
power/sb_k3m2l,power,10.5,0.97238,0.001858
power/sb_k3m2l,power,10.75,0.97085,0.001717
power/sb_k3m2l,power,11,0.96932,0.001314
power/sb_k3m2l,power,11.25,0.96778,0.000711
power/sb_k3m2l,power,11.5,0.96625,0.000000
power/sb_k3m3u,power,0,0.94942,0.000000
power/sb_k3m3u,power,0.2,0.95111,0.000226
power/sb_k3m3u,power,1.5,0.96207,0.002023
power/sb_k3m3u,power,7,1.00843,0.002262
power/sb_k3m3u,power,10.5,1.03793,0.001509
power/sb_k3m3u,power,10.75,1.04004,0.001394
power/sb_k3m3u,power,11,1.04215,0.001067
power/sb_k3m3u,power,11.25,1.04425,0.000577
power/sb_k3m3u,power,11.5,1.04636,0.000000
power/sb_k3m3l,power,0,1.05627,0.000000
power/sb_k3m3l,power,0.2,1.05439,0.000173
power/sb_k3m3l,power,1.5,1.04220,0.001538
power/sb_k3m3l,power,7,0.99062,0.001734
power/sb_k3m3l,power,10.5,0.95780,0.001163
power/sb_k3m3l,power,10.75,0.95545,0.001075
power/sb_k3m3l,power,11,0.95311,0.000823
power/sb_k3m3l,power,11.25,0.95077,0.000445
power/sb_k3m3l,power,11.5,0.94842,0.000000
brake/sb_k1m1u,brake,0,0.94944,0.000000
brake/sb_k1m1u,brake,1,0.95787,0.000000
brake/sb_k1m1u,brake,1.5,0.96208,0.003344
brake/sb_k1m1u,brake,3,0.97472,0.013883
brake/sb_k1m1u,brake,9,1.02528,0.013647
brake/sb_k1m1u,brake,10.5,1.03793,0.010917
brake/sb_k1m1u,brake,10.75,1.04003,0.010079
brake/sb_k1m1u,brake,11,1.04214,0.007708
brake/sb_k1m1u,brake,11.25,1.04425,0.004169
brake/sb_k1m1u,brake,11.5,1.04635,0.000000
brake/sb_k1m1l,brake,0,1.05625,0.000000
brake/sb_k1m1l,brake,1,1.04687,0.000000
brake/sb_k1m1l,brake,1.5,1.04219,0.002617
brake/sb_k1m1l,brake,3,1.02812,0.010952
brake/sb_k1m1l,brake,9,0.97187,0.011117
brake/sb_k1m1l,brake,10.5,0.95781,0.008965
brake/sb_k1m1l,brake,10.75,0.95546,0.008287
brake/sb_k1m1l,brake,11,0.95312,0.006346
brake/sb_k1m1l,brake,11.25,0.95078,0.003437
brake/sb_k1m1l,brake,11.5,0.94843,0.000000
brake/sb_k2m1u,brake,0,0.97406,0.000000
brake/sb_k2m1u,brake,1,0.97839,0.000000
brake/sb_k2m1u,brake,1.5,0.98055,0.003416
brake/sb_k2m1u,brake,3,0.98703,0.014216
brake/sb_k2m1u,brake,9,1.01297,0.014115
brake/sb_k2m1u,brake,10.5,1.01945,0.011323
brake/sb_k2m1u,brake,10.75,1.02054,0.010458
brake/sb_k2m1u,brake,11,1.02162,0.008002
brake/sb_k2m1u,brake,11.25,1.02270,0.004330
brake/sb_k2m1u,brake,11.5,1.02378,0.000000
brake/sb_k2m1l,brake,0,1.02736,0.000000
brake/sb_k2m1l,brake,1,1.02280,0.000000
brake/sb_k2m1l,brake,1.5,1.02052,0.003352
brake/sb_k2m1l,brake,3,1.01368,0.014000
brake/sb_k2m1l,brake,9,0.98632,0.014119
brake/sb_k2m1l,brake,10.5,0.97948,0.011371
brake/sb_k2m1l,brake,10.75,0.97834,0.010509
brake/sb_k2m1l,brake,11,0.97720,0.008046
brake/sb_k2m1l,brake,11.25,0.97606,0.004356
brake/sb_k2m1l,brake,11.5,0.97493,0.000000
brake/sb_k2m2u,brake,0,0.94944,0.000000
brake/sb_k2m2u,brake,1,0.95787,0.000000
brake/sb_k2m2u,brake,1.5,0.96208,0.000867
brake/sb_k2m2u,brake,3,0.97472,0.003599
brake/sb_k2m2u,brake,9,1.02528,0.003553
brake/sb_k2m2u,brake,10.5,1.03792,0.002847
brake/sb_k2m2u,brake,10.75,1.04003,0.002629
brake/sb_k2m2u,brake,11,1.04214,0.002011
brake/sb_k2m2u,brake,11.25,1.04425,0.001088
brake/sb_k2m2u,brake,11.5,1.04635,0.000000
brake/sb_k2m2l,brake,0,1.05625,0.000000
brake/sb_k2m2l,brake,1,1.04687,0.000000
brake/sb_k2m2l,brake,1.5,1.04219,0.000710
brake/sb_k2m2l,brake,3,1.02812,0.002971
brake/sb_k2m2l,brake,9,0.97187,0.003027
brake/sb_k2m2l,brake,10.5,0.95781,0.002445
brake/sb_k2m2l,brake,10.75,0.95546,0.002260
brake/sb_k2m2l,brake,11,0.95312,0.001732
brake/sb_k2m2l,brake,11.25,0.95078,0.000938
brake/sb_k2m2l,brake,11.5,0.94843,0.000000
brake/sb_k2m3u,brake,0,0.92603,0.000000
brake/sb_k2m3u,brake,1,0.93836,0.000000
brake/sb_k2m3u,brake,1.5,0.94452,0.000687
brake/sb_k2m3u,brake,3,0.96301,0.002849
brake/sb_k2m3u,brake,9,1.03699,0.002799
brake/sb_k2m3u,brake,10.5,1.05548,0.002241
brake/sb_k2m3u,brake,10.75,1.05857,0.002069
brake/sb_k2m3u,brake,11,1.06165,0.001583
brake/sb_k2m3u,brake,11.25,1.06473,0.000856
brake/sb_k2m3u,brake,11.5,1.06781,0.000000
brake/sb_k2m3l,brake,0,1.08682,0.000000
brake/sb_k2m3l,brake,1,1.07235,0.000000
brake/sb_k2m3l,brake,1.5,1.06511,0.000711
brake/sb_k2m3l,brake,3,1.04341,0.002984
brake/sb_k2m3l,brake,9,0.95659,0.003076
brake/sb_k2m3l,brake,10.5,0.93488,0.002493
brake/sb_k2m3l,brake,10.75,0.93127,0.002307
brake/sb_k2m3l,brake,11,0.92765,0.001768
brake/sb_k2m3l,brake,11.25,0.92403,0.000959
brake/sb_k2m3l,brake,11.5,0.92041,0.000000
brake/sb_k3m1u,brake,0,0.98256,0.000000
brake/sb_k3m1u,brake,1,0.98546,0.000000
brake/sb_k3m1u,brake,1.5,0.98692,0.001139
brake/sb_k3m1u,brake,3,0.99128,0.004748
brake/sb_k3m1u,brake,9,1.00872,0.004742
brake/sb_k3m1u,brake,10.5,1.01308,0.003809
brake/sb_k3m1u,brake,10.75,1.01381,0.003519
brake/sb_k3m1u,brake,11,1.01453,0.002693
brake/sb_k3m1u,brake,11.25,1.01526,0.001457
brake/sb_k3m1u,brake,11.5,1.01599,0.000000
brake/sb_k3m1l,brake,0,1.01807,0.000000
brake/sb_k3m1l,brake,1,1.01506,0.000000
brake/sb_k3m1l,brake,1.5,1.01355,0.000875
brake/sb_k3m1l,brake,3,1.00904,0.003649
brake/sb_k3m1l,brake,9,0.99096,0.003654
brake/sb_k3m1l,brake,10.5,0.98644,0.002938
brake/sb_k3m1l,brake,10.75,0.98569,0.002714
brake/sb_k3m1l,brake,11,0.98494,0.002078
brake/sb_k3m1l,brake,11.25,0.98419,0.001124
brake/sb_k3m1l,brake,11.5,0.98343,0.000000
brake/sb_k3m2u,brake,0,0.96571,0.000000
brake/sb_k3m2u,brake,1,0.97143,0.000000
brake/sb_k3m2u,brake,1.5,0.97429,0.000404
brake/sb_k3m2u,brake,3,0.98286,0.001684
brake/sb_k3m2u,brake,9,1.01714,0.001680
brake/sb_k3m2u,brake,10.5,1.02572,0.001349
brake/sb_k3m2u,brake,10.75,1.02715,0.001246
brake/sb_k3m2u,brake,11,1.02857,0.000954
brake/sb_k3m2u,brake,11.25,1.03000,0.000516
brake/sb_k3m2u,brake,11.5,1.03143,0.000000
brake/sb_k3m2l,brake,0,1.03681,0.000000
brake/sb_k3m2l,brake,1,1.03067,0.000000
brake/sb_k3m2l,brake,1.5,1.02761,0.000395
brake/sb_k3m2l,brake,3,1.01840,0.001650
brake/sb_k3m2l,brake,9,0.98159,0.001656
brake/sb_k3m2l,brake,10.5,0.97239,0.001332
brake/sb_k3m2l,brake,10.75,0.97086,0.001230
brake/sb_k3m2l,brake,11,0.96932,0.000942
brake/sb_k3m2l,brake,11.25,0.96779,0.000510
brake/sb_k3m2l,brake,11.5,0.96626,0.000000
brake/sb_k3m3u,brake,0,0.94944,0.000000
brake/sb_k3m3u,brake,1,0.95786,0.000000
brake/sb_k3m3u,brake,1.5,0.96208,0.000343
brake/sb_k3m3u,brake,3,0.97472,0.001432
brake/sb_k3m3u,brake,9,1.02528,0.001427
brake/sb_k3m3u,brake,10.5,1.03792,0.001146
brake/sb_k3m3u,brake,10.75,1.04003,0.001059
brake/sb_k3m3u,brake,11,1.04214,0.000810
brake/sb_k3m3u,brake,11.25,1.04424,0.000438
brake/sb_k3m3u,brake,11.5,1.04635,0.000000
brake/sb_k3m3l,brake,0,1.05625,0.000000
brake/sb_k3m3l,brake,1,1.04687,0.000000
brake/sb_k3m3l,brake,1.5,1.04219,0.000365
brake/sb_k3m3l,brake,3,1.02812,0.001523
brake/sb_k3m3l,brake,9,0.97187,0.001532
brake/sb_k3m3l,brake,10.5,0.95781,0.001233
brake/sb_k3m3l,brake,10.75,0.95546,0.001139
brake/sb_k3m3l,brake,11,0.95312,0.000872
brake/sb_k3m3l,brake,11.25,0.95078,0.000472
brake/sb_k3m3l,brake,11.5,0.94843,0.000000
coast/cruising_a,coast,10.5,0.78750,0.000000
coast/cruising_a,coast,10.75,0.80625,0.008621
coast/cruising_a,coast,11,0.82500,0.016778
coast/cruising_a,coast,11.25,0.84375,0.023086
coast/cruising_a,coast,11.5,0.86250,0.026310
coast/cruising_a,coast,20,1.50000,0.043415
coast/cruising_a,coast,23.5,1.76250,0.033379
coast/cruising_a,coast,23.75,1.78125,0.030293
coast/cruising_a,coast,24,1.80000,0.022778
coast/cruising_a,coast,24.25,1.81875,0.012112
coast/cruising_a,coast,24.5,1.83750,0.000000
coast/cruising_c,coast,23.5,0.87037,0.000000
coast/cruising_c,coast,23.75,0.87963,0.020774
coast/cruising_c,coast,24,0.88889,0.038255
coast/cruising_c,coast,24.25,0.89815,0.049814
coast/cruising_c,coast,24.5,0.90741,0.053732
coast/cruising_c,coast,27.5,1.01852,0.051509
coast/cruising_c,coast,27.75,1.02778,0.047420
coast/cruising_c,coast,28,1.03704,0.036166
coast/cruising_c,coast,28.25,1.04630,0.019505
coast/cruising_c,coast,28.5,1.05556,0.000000
coast/cruising_b,coast,27.5,0.68750,0.000000
coast/cruising_b,coast,27.75,0.69375,0.027272
coast/cruising_b,coast,28,0.70000,0.050293
coast/cruising_b,coast,28.25,0.70625,0.065574
coast/cruising_b,coast,28.5,0.71250,0.070835
coast/cruising_b,coast,40,1.00000,0.123513
coast/rumble,coast,0,0.85000,0.000000
coast/rumble,coast,0.3,0.85321,0.066904
coast/rumble,coast,1.5,0.86607,0.491082
coast/rumble,coast,2.5,0.87679,0.691558
coast/rumble,coast,5,0.90357,0.848932
coast/rumble,coast,8,0.93571,0.618841
coast/rumble,coast,14,1.00000,0.918315
coast/rumble,coast,19,1.03846,1.000000
coast/rumble,coast,27,1.10000,0.763917
coast/rumble,coast,40,1.20000,0.555629
coast/roll,coast,0,0.80000,0.000000
coast/roll,coast,0.3,0.80429,0.016036
coast/roll,coast,1.5,0.82143,0.132431
coast/roll,coast,2.5,0.83571,0.200793
coast/roll,coast,5,0.87143,0.251692
coast/roll,coast,8,0.91429,0.353218
coast/roll,coast,14,1.00000,0.447996
coast/roll,coast,19,1.05769,0.474798
coast/roll,coast,27,1.15000,0.446737
coast/roll,coast,40,1.30000,0.470831
coast/air,coast,4,0.90000,0.000000
coast/air,coast,5,0.90667,0.006780
coast/air,coast,8,0.92667,0.023944
coast/air,coast,14,0.96667,0.067842
coast/air,coast,19,1.00000,0.100684
coast/air,coast,27,1.01905,0.134215
coast/air,coast,40,1.05000,0.179973
power_steady/a_fixed,power_steady,4.5,1.00000,0.000000
power_steady/a_fixed,power_steady,5,1.00000,0.089682
power_steady/a_fixed,power_steady,7,1.00000,0.100625
power_steady/a_fixed,power_steady,10.5,1.00000,0.067252
power_steady/a_fixed,power_steady,10.75,1.00000,0.062133
power_steady/a_fixed,power_steady,11,1.00000,0.047554
power_steady/a_fixed,power_steady,11.25,1.00000,0.025736
power_steady/a_fixed,power_steady,11.5,1.00000,0.000000
power_steady/b_sync_a,power_steady,10.5,0.78750,0.000000
power_steady/b_sync_a,power_steady,10.75,0.80625,0.026181
power_steady/b_sync_a,power_steady,11,0.82500,0.048105
power_steady/b_sync_a,power_steady,11.25,0.84375,0.062487
power_steady/b_sync_a,power_steady,11.5,0.86250,0.067229
power_steady/b_sync_a,power_steady,13,0.97500,0.040777
power_steady/b_sync_a,power_steady,15.5,1.16250,0.042578
power_steady/b_sync_a,power_steady,19,1.42500,0.017368
power_steady/b_sync_a,power_steady,23.5,1.76250,0.016068
power_steady/b_sync_a,power_steady,23.75,1.78125,0.014799
power_steady/b_sync_a,power_steady,24,1.80000,0.011292
power_steady/b_sync_a,power_steady,24.25,1.81875,0.006094
power_steady/b_sync_a,power_steady,24.5,1.83750,0.000000
power_steady/c_sync_c,power_steady,23.5,0.87037,0.000000
power_steady/c_sync_c,power_steady,23.75,0.87963,0.010902
power_steady/c_sync_c,power_steady,24,0.88889,0.021023
power_steady/c_sync_c,power_steady,24.25,0.89815,0.028665
power_steady/c_sync_c,power_steady,24.5,0.90741,0.032377
power_steady/c_sync_c,power_steady,26,0.96296,0.041794
power_steady/c_sync_c,power_steady,27.5,1.01852,0.046977
power_steady/c_sync_c,power_steady,27.75,1.02778,0.044255
power_steady/c_sync_c,power_steady,28,1.03704,0.034538
power_steady/c_sync_c,power_steady,28.25,1.04630,0.019061
power_steady/c_sync_c,power_steady,28.5,1.05556,0.000000
power_steady/d_cruise_b,power_steady,27.5,0.68750,0.000000
power_steady/d_cruise_b,power_steady,27.75,0.69375,0.027272
power_steady/d_cruise_b,power_steady,28,0.70000,0.050293
power_steady/d_cruise_b,power_steady,28.25,0.70625,0.065574
power_steady/d_cruise_b,power_steady,28.5,0.71250,0.070835
power_steady/d_cruise_b,power_steady,40,1.00000,0.123513
power_steady/sb_k1m1u,power_steady,7,1.00843,0.010757
power_steady/sb_k1m1u,power_steady,10.5,1.03793,0.007116
power_steady/sb_k1m1u,power_steady,10.75,1.04004,0.006570
power_steady/sb_k1m1u,power_steady,11,1.04215,0.005025
power_steady/sb_k1m1u,power_steady,11.25,1.04425,0.002717
power_steady/sb_k1m1u,power_steady,11.5,1.04636,0.000000
power_steady/sb_k1m1l,power_steady,7,0.99062,0.012247
power_steady/sb_k1m1l,power_steady,10.5,0.95780,0.008254
power_steady/sb_k1m1l,power_steady,10.75,0.95545,0.007630
power_steady/sb_k1m1l,power_steady,11,0.95311,0.005843
power_steady/sb_k1m1l,power_steady,11.25,0.95077,0.003164
power_steady/sb_k1m1l,power_steady,11.5,0.94842,0.000000
power_steady/sb_k2m1u,power_steady,7,1.00432,0.006884
power_steady/sb_k2m1u,power_steady,10.5,1.01946,0.004582
power_steady/sb_k2m1u,power_steady,10.75,1.02054,0.004233
power_steady/sb_k2m1u,power_steady,11,1.02162,0.003239
power_steady/sb_k2m1u,power_steady,11.25,1.02270,0.001752
power_steady/sb_k2m1u,power_steady,11.5,1.02378,0.000000
power_steady/sb_k2m1l,power_steady,7,0.99544,0.004685
power_steady/sb_k2m1l,power_steady,10.5,0.97947,0.003147
power_steady/sb_k2m1l,power_steady,10.75,0.97833,0.002909
power_steady/sb_k2m1l,power_steady,11,0.97719,0.002227
power_steady/sb_k2m1l,power_steady,11.25,0.97605,0.001206
power_steady/sb_k2m1l,power_steady,11.5,0.97491,0.000000
power_steady/sb_k2m2u,power_steady,7,1.00843,0.003195
power_steady/sb_k2m2u,power_steady,10.5,1.03793,0.002121
power_steady/sb_k2m2u,power_steady,10.75,1.04004,0.001958
power_steady/sb_k2m2u,power_steady,11,1.04215,0.001498
power_steady/sb_k2m2u,power_steady,11.25,1.04425,0.000810
power_steady/sb_k2m2u,power_steady,11.5,1.04636,0.000000
power_steady/sb_k2m2l,power_steady,7,0.99062,0.002400
power_steady/sb_k2m2l,power_steady,10.5,0.95780,0.001623
power_steady/sb_k2m2l,power_steady,10.75,0.95545,0.001501
power_steady/sb_k2m2l,power_steady,11,0.95311,0.001150
power_steady/sb_k2m2l,power_steady,11.25,0.95077,0.000623
power_steady/sb_k2m2l,power_steady,11.5,0.94842,0.000000
power_steady/sb_k2m3u,power_steady,7,1.01233,0.003101
power_steady/sb_k2m3u,power_steady,10.5,1.05549,0.002054
power_steady/sb_k2m3u,power_steady,10.75,1.05858,0.001896
power_steady/sb_k2m3u,power_steady,11,1.06166,0.001450
power_steady/sb_k2m3u,power_steady,11.25,1.06474,0.000785
power_steady/sb_k2m3u,power_steady,11.5,1.06783,0.000000
power_steady/sb_k2m3l,power_steady,7,0.98553,0.003805
power_steady/sb_k2m3l,power_steady,10.5,0.93487,0.002594
power_steady/sb_k2m3l,power_steady,10.75,0.93125,0.002400
power_steady/sb_k2m3l,power_steady,11,0.92763,0.001840
power_steady/sb_k2m3l,power_steady,11.25,0.92401,0.000997
power_steady/sb_k2m3l,power_steady,11.5,0.92039,0.000000
power_steady/sb_k3m1u,power_steady,7,1.00291,0.005633
power_steady/sb_k3m1u,power_steady,10.5,1.01309,0.003762
power_steady/sb_k3m1u,power_steady,10.75,1.01381,0.003476
power_steady/sb_k3m1u,power_steady,11,1.01454,0.002660
power_steady/sb_k3m1u,power_steady,11.25,1.01527,0.001439
power_steady/sb_k3m1u,power_steady,11.5,1.01599,0.000000
power_steady/sb_k3m1l,power_steady,7,0.99699,0.002583
power_steady/sb_k3m1l,power_steady,10.5,0.98644,0.001728
power_steady/sb_k3m1l,power_steady,10.75,0.98569,0.001597
power_steady/sb_k3m1l,power_steady,11,0.98494,0.001222
power_steady/sb_k3m1l,power_steady,11.25,0.98418,0.000662
power_steady/sb_k3m1l,power_steady,11.5,0.98343,0.000000
power_steady/sb_k3m2u,power_steady,7,1.00572,0.001699
power_steady/sb_k3m2u,power_steady,10.5,1.02572,0.001134
power_steady/sb_k3m2u,power_steady,10.75,1.02715,0.001047
power_steady/sb_k3m2u,power_steady,11,1.02858,0.000802
power_steady/sb_k3m2u,power_steady,11.25,1.03001,0.000434
power_steady/sb_k3m2u,power_steady,11.5,1.03144,0.000000
power_steady/sb_k3m2l,power_steady,7,0.99386,0.002774
power_steady/sb_k3m2l,power_steady,10.5,0.97238,0.001858
power_steady/sb_k3m2l,power_steady,10.75,0.97085,0.001717
power_steady/sb_k3m2l,power_steady,11,0.96932,0.001314
power_steady/sb_k3m2l,power_steady,11.25,0.96778,0.000711
power_steady/sb_k3m2l,power_steady,11.5,0.96625,0.000000
power_steady/sb_k3m3u,power_steady,7,1.00843,0.002262
power_steady/sb_k3m3u,power_steady,10.5,1.03793,0.001509
power_steady/sb_k3m3u,power_steady,10.75,1.04004,0.001394
power_steady/sb_k3m3u,power_steady,11,1.04215,0.001067
power_steady/sb_k3m3u,power_steady,11.25,1.04425,0.000577
